nlp_text,property_apartment,property_house,property_villa,property_land,property_commercial,transaction_sale,transaction_rent,transaction_negotiable,transaction_urgent,condition_new_or_renovated,condition_needs_renovation,comfort_furnished,comfort_air_conditioning,comfort_heating,comfort_parking_or_garage,comfort_elevator,comfort_balcony_or_terrace,comfort_garden,comfort_pool,comfort_security,comfort_double_glazing,location_sea_view,location_near_beach,location_near_school,location_near_transport,location_city_center,standing_luxury,standing_high_quality_finishing,signal_low_quality_or_vague
"Description: ""Réf: AH079 Nabeul / Hammamet centre Appartement / à vendre il y a 3 jours 🏢#MS_IMMOBILIER🏢met en #vente🎉un #appartement richement #meublé de type🔑S+1 avec une grande #terrasse aménagée🚶🚶 ayant une #vue_sublime sur la #mer🏝🏖 mis au 2ème étage d'une petite #résidence #conviviale à #Hammamet_centre-ville ⛱️🌊 🎉Une terrasse #vue de #mer est disponible🏡 🌊🔌 Chauffage central préinstallé 📜 Documents: Titre foncier individuel encours 📐Superficie: 76 m² 💰 Prix: 320 MD 👋 Réf : AH079 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Transaction type: 2.0 | Governorate: 1.0 | Zone: ""Appartement s+1 avec vue de mer à hammamet à vendre 51355351 | Appartement | à vendre | 76.00 m | Chauffage centrale | Parabole / TV | Système Alarme | Climatisation | Terrasses | Meublé | Vue mer | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Description: ""Réf: AH001 Nabeul / Hammamet centre Appartement / à vendre il y a 3 jours 📝#Direct #promoteur🗝🚪 🏢#MS_IMMOBILIER🏢vous offre pour la #vente des #appartements🏡de style S+2 de #hautstanding à #Hammamet🌊#zone_théâtre ⛱et #Polyclinique #Hammamet🏝🏖 📐Superficie: 109 m² 💰Prix: 385 MD 📐Superficie: 127 m² 💰Prix: 450 MD 🎈Réf: AH001 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Description: 1.0 | Governorate: 1.0 | Zone: ""Des appartements s+2 tout neuf à vendre à hammamet 51355351 | Appartement | à vendre | 109.00 m | Garage | Chauffage centrale | Parabole / TV | Système Alarme | Climatisation | Terrasses | Jardin | Ascenseur | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AH077 Nabeul / Hammamet Appartement / à vendre il y a 3 jours 🙋🙋#ستوديو #للبيع🍡💥في #الحمامات بـ140 مليون# 🤑🤑 ☀️حي نظيف و راقي 🏄موش بعيد عالبحر و على مسرح الحمامات🌊🏖 📐المساحة: 55 متر مربع ☎️للاستفسار و لأكثر معلومات الرجاء الإتصال برقم الهاتف ☎️51355351 🍄Réf: AH077 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zone: ""Coquet studio à vendre à 140 md à hammamet 51355351 | Appartement | à vendre | 55.00 m | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AH088 Nabeul / Hammamet centre Appartement / à vendre il y a 3 jours 🏢#MS_IMMOBILIER🏢met en #vente🔵des #appartements #neuf 👌👌 💒situés dans une petite #résidence🏘🏘 #sécurisée proche de toutes les commodités à #Hammamet⛱️🌊 💦🔌Résidence équipée de chauffage central 📜Document: Titre foncier 📐Superficie des S+1: 68 m² 💰 Prix:: 200 MD 📐Superficie:110 m² 💰 Prix: 280 MD ❣️Réf : AH088 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Governorate: 1.0 | Zone: ""Des appartements à vendre à hammamet 51355351 | Appartement | à vendre | 68.00 m | Garage | Chauffage centrale | Parabole / TV | Système Alarme | Climatisation | Terrasses | Vue mer | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Description: ""Réf: OF94472 Nabeul / Hammamet Appartement / à vendre il y a 12 jours Appart S2 d'une superficie de 200m² situé au 4ème étage d'une résidence à El Kharrouba Hammamet. A l'entrée on trouve un salon | Transaction type: vente | Governorate: 2 salles de bain et 2 terrasses. Contacter l'agent: 56 590 380",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AH085 Nabeul / Hammamet centre Appartement / à vendre il y a 17 jours 😍🙋#ستوديو #طابق أرضي-S0-#للبيع في #الحمامات وسط البلاد بـ140مليون 🤑🤑 ☀️حي نظيف و جديد 🏄موش بعيدة عالبحر و على وسط البلاد🌊🏖 📐المساحة: حوالي 40 متر مربع ☎️للاستفسار و لأكثر معلومات الرجاء الإتصال برقم الهاتف ☎️51355351 🍄Réf: AH085 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
